ap-southeast-2.linux.c3.large,0.189
ap-southeast-2.linux.c3.xlarge,0.378
ap-southeast-2.linux.c3.2xlarge,0.756
ap-southeast-2.linux.c3.4xlarge,1.512
ap-southeast-2.linux.c3.8xlarge,3.024
ap-southeast-2.linux.c1.medium,0.183
ap-southeast-2.linux.c1.xlarge,0.730
ap-southeast-2.linux.m2.xlarge,0.495
ap-southeast-2.linux.m2.2xlarge,0.990
ap-southeast-2.linux.m2.4xlarge,1.980
ap-southeast-2.linux.hs1.8xlarge,5.570
ap-southeast-2.linux.t1.micro,0.020
sa-east-1.linux.m3.xlarge,0.612
sa-east-1.linux.m3.2xlarge,1.224
sa-east-1.linux.m1.small,0.080
sa-east-1.linux.m1.medium,0.160
sa-east-1.linux.m1.large,0.320
sa-east-1.linux.m1.xlarge,0.640
sa-east-1.linux.c1.medium,0.200
sa-east-1.linux.c1.xlarge,0.800
sa-east-1.linux.m2.xlarge,0.540
sa-east-1.linux.m2.2xlarge,1.080
sa-east-1.linux.m2.4xlarge,2.160
sa-east-1.linux.t1.micro,0.027
us-east-1.windows.m3.xlarge,0.702
us-east-1.windows.m3.2xlarge,1.404
us-east-1.windows.m1.small,0.091
us-east-1.windows.m1.medium,0.182
us-east-1.windows.m1.large,0.364
us-east-1.windows.m1.xlarge,0.728
us-east-1.windows.c3.large,0.233
us-east-1.windows.c3.xlarge,0.466
us-east-1.windows.c3.2xlarge,0.932
us-east-1.windows.c3.4xlarge,1.864
us-east-1.windows.c3.8xlarge,3.728
us-east-1.windows.c1.medium,0.225
us-east-1.windows.c1.xlarge,0.900
us-east-1.windows.cc2.8xlarge,2.970
us-east-1.windows.g2.2xlarge,0.767
us-east-1.windows.cg1.4xlarge,2.600
us-east-1.windows.m2.xlarge,0.510
us-east-1.windows.m2.2xlarge,1.020
us-east-1.windows.m2.4xlarge,2.040
us-east-1.windows.cr1.8xlarge,3.831
us-east-1.windows.hi1.4xlarge,3.580
us-east-1.windows.hs1.8xlarge,4.931
us-east-1.windows.t1.micro,0.020
us-west-2.windows.m3.xlarge,0.702
us-west-2.windows.m3.2xlarge,1.404
us-west-2.windows.m1.small,0.091
us-west-2.windows.m1.medium,0.182
us-west-2.windows.m1.large,0.364
us-west-2.windows.m1.xlarge,0.728
us-west-2.windows.c3.large,0.233
us-west-2.windows.c3.xlarge,0.466
us-west-2.windows.c3.2xlarge,0.932
us-west-2.windows.c3.4xlarge,1.864
us-west-2.windows.c3.8xlarge,3.728
us-west-2.windows.c1.medium,0.225
us-west-2.windows.c1.xlarge,0.900
us-west-2.windows.cc2.8xlarge,2.970
us-west-2.windows.g2.2xlarge,0.767
us-west-2.windows.m2.xlarge,0.510
us-west-2.windows.m2.2xlarge,1.020
us-west-2.windows.m2.4xlarge,2.040
us-west-2.windows.cr1.8xlarge,3.831
us-west-2.windows.hi1.4xlarge,3.580
us-west-2.windows.hs1.8xlarge,4.931
us-west-2.windows.t1.micro,0.020
us-west-1.windows.m3.xlarge,0.747
us-west-1.windows.m3.2xlarge,1.494
us-west-1.windows.m1.small,0.096
us-west-1.windows.m1.medium,0.192
us-west-1.windows.m1.large,0.384
us-west-1.windows.m1.xlarge,0.768
us-west-1.windows.c1.medium,0.245
us-west-1.windows.c1.xlarge,0.980
us-west-1.windows.g2.2xlarge,0.819
us-west-1.windows.m2.xlarge,0.560
us-west-1.windows.m2.2xlarge,1.120
us-west-1.windows.m2.4xlarge,2.240
us-west-1.windows.t1.micro,0.035
eu-west-1.windows.m3.xlarge,0.702
eu-west-1.windows.m3.2xlarge,1.404
eu-west-1.windows.m1.small,0.091
eu-west-1.windows.m1.medium,0.182
eu-west-1.windows.m1.large,0.364
eu-west-1.windows.m1.xlarge,0.728
eu-west-1.windows.c3.large,0.233
